filename,plate,well,site,channel,timepoint,compound,dose,control,subdir_folder,zslice
E-10_F0002_T0013_Z0001_C02,1,E-10,2,CL488,T0013,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0001_T0003_Z0001_C01,1,C-06,1,Hoechst,T0003,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0001_T0002_Z0001_C04,1,E-02,1,CL561,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0003_T0002_Z0001_C01,1,C-05,3,Hoechst,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0004_T0011_Z0001_C03,1,C-11,4,CL488-2,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0001_T0010_Z0001_C03,1,D-05,1,CL488-2,T0010,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0001_T0002_Z0001_C03,1,C-05,1,CL488-2,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-06_F0001_T0011_Z0001_C01,1,D-06,1,Hoechst,T0011,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0001_T0003_Z0001_C02,1,E-03,1,CL488,T0003,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0003_T0002_Z0001_C02,1,E-02,3,CL488,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0002_T0005_Z0001_C02,1,D-10,2,CL488,T0005,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0003_T0010_Z0001_C01,1,D-05,3,Hoechst,T0010,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0003_T0001_Z0001_C03,1,C-04,3,CL488-2,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0003_T0013_Z0001_C01,1,E-10,3,Hoechst,T0013,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0002_T0001_Z0001_C04,1,C-04,2,CL561,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0002_T0010_Z0001_C02,1,D-05,2,CL488,T0010,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0001_T0007_Z0001_C01,1,C-02,1,Hoechst,T0007,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0001_T0005_Z0001_C03,1,D-10,1,CL488-2,T0005,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0002_T0002_Z0001_C03,1,E-02,2,CL488-2,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0002_T0003_Z0001_C01,1,E-03,2,Hoechst,T0003,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0001_T0006_Z0001_C01,1,D-11,1,Hoechst,T0006,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0002_T0002_Z0001_C02,1,C-05,2,CL488,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0003_T0011_Z0001_C04,1,C-11,3,CL561,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0001_T0013_Z0001_C03,1,E-10,1,CL488-2,T0013,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0004_T0001_Z0001_C02,1,C-04,4,CL488,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0004_T0002_Z0001_C01,1,E-02,4,Hoechst,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0003_T0005_Z0001_C01,1,D-10,3,Hoechst,T0005,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0003_T0010_Z0001_C03,1,E-11,3,CL488-2,T0010,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0003_T0003_Z0001_C03,1,C-02,3,CL488-2,T0003,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-05_F0002_T0001_Z0001_C01,1,E-05,2,Hoechst,T0001,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0003_T0012_Z0001_C01,1,D-03,3,Hoechst,T0012,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0001_T0004_Z0001_C03,1,C-03,1,CL488-2,T0004,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0001_T0013_Z0001_C01,1,D-04,1,Hoechst,T0013,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0003_T0011_Z0001_C03,1,D-02,3,CL488-2,T0011,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0001_T0005_Z0001_C01,1,C-04,1,Hoechst,T0005,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0001_T0012_Z0001_C03,1,D-03,1,CL488-2,T0012,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0003_T0002_Z0001_C03,1,D-11,3,CL488-2,T0002,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0003_T0004_Z0001_C01,1,C-03,3,Hoechst,T0004,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0004_T0010_Z0001_C02,1,E-11,4,CL488,T0010,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0004_T0003_Z0001_C02,1,C-02,4,CL488,T0003,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0004_T0001_Z0001_C04,1,D-10,4,CL561,T0001,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0002_T0011_Z0001_C04,1,D-02,2,CL561,T0011,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0002_T0004_Z0001_C02,1,C-03,2,CL488,T0004,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0002_T0002_Z0001_C04,1,D-11,2,CL561,T0002,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-08_F0001_T0001_Z0001_C01,1,C-08,1,Hoechst,T0001,Staurosporine,19.53,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-09_F0004_T0009_Z0001_C04,1,D-09,4,CL561,T0009,Staurosporine,39.06,positive,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0004_T0011_Z0001_C02,1,D-02,4,CL488,T0011,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0004_T0002_Z0001_C02,1,D-11,4,CL488,T0002,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0002_T0010_Z0001_C04,1,E-11,2,CL561,T0010,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-05_F0001_T0001_Z0001_C02,1,E-05,1,CL488,T0001,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0002_T0003_Z0001_C04,1,C-02,2,CL561,T0003,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0002_T0012_Z0001_C02,1,D-03,2,CL488,T0012,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-10_F0003_T0012_Z0001_C04,1,C-10,3,CL561,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0002_T0003_Z0001_C02,1,C-04,2,CL488,T0003,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0002_T0004_Z0001_C01,1,E-02,2,Hoechst,T0004,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0001_T0007_Z0001_C01,1,D-10,1,Hoechst,T0007,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0002_T0010_Z0001_C04,1,D-03,2,CL561,T0010,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0001_T0013_Z0001_C04,1,C-11,1,CL561,T0013,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0004_T0002_Z0001_C02,1,C-03,4,CL488,T0002,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0002_T0011_Z0001_C02,1,D-04,2,CL488,T0011,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0002_T0002_Z0001_C04,1,C-03,2,CL561,T0002,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0004_T0010_Z0001_C02,1,D-03,4,CL488,T0010,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0003_T0013_Z0001_C02,1,C-11,3,CL488,T0013,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0004_T0001_Z0001_C04,1,C-02,4,CL561,T0001,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0001_T0011_Z0001_C03,1,D-04,1,CL488-2,T0011,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-10_F0004_T0012_Z0001_C03,1,C-10,4,CL488-2,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0003_T0003_Z0001_C01,1,C-04,3,Hoechst,T0003,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0001_T0004_Z0001_C01,1,C-05,1,Hoechst,T0004,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0003_T0010_Z0001_C03,1,D-03,3,CL488-2,T0010,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0002_T0013_Z0001_C03,1,C-11,2,CL488-2,T0013,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0003_T0011_Z0001_C01,1,D-04,3,Hoechst,T0011,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0003_T0002_Z0001_C03,1,C-03,3,CL488-2,T0002,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0001_T0012_Z0001_C01,1,D-05,1,Hoechst,T0012,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0001_T0003_Z0001_C03,1,C-04,1,CL488-2,T0003,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0001_T0004_Z0001_C02,1,E-02,1,CL488,T0004,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0004_T0013_Z0001_C01,1,C-11,4,Hoechst,T0013,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0003_T0001_Z0001_C02,1,E-03,3,CL488,T0001,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0002_T0004_Z0001_C02,1,D-11,2,CL488,T0004,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-04_F0001_T0002_Z0001_C02,1,E-04,1,CL488,T0002,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0002_T0011_Z0001_C04,1,E-10,2,CL561,T0011,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0002_T0013_Z0001_C02,1,D-02,2,CL488,T0013,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0001_T0001_Z0001_C03,1,C-06,1,CL488-2,T0001,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-07_F0001_T0010_Z0001_C01,1,D-07,1,Hoechst,T0010,Staurosporine,9.77,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0004_T0003_Z0001_C02,1,D-10,4,CL488,T0003,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-07_F0001_T0002_Z0001_C01,1,C-07,1,Hoechst,T0002,Staurosporine,9.77,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0002_T0003_Z0001_C04,1,D-10,2,CL561,T0003,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0002_T0005_Z0001_C02,1,C-02,2,CL488,T0005,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0002_T0012_Z0001_C02,1,E-11,2,CL488,T0012,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0004_T0011_Z0001_C02,1,E-10,4,CL488,T0011,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0001_T0001_Z0001_C04,1,E-03,1,CL561,T0001,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0003_T0001_Z0001_C01,1,C-06,3,Hoechst,T0001,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0001_T0012_Z0001_C03,1,E-11,1,CL488-2,T0012,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0001_T0005_Z0001_C03,1,C-02,1,CL488-2,T0005,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0004_T0001_Z0001_C01,1,E-03,4,Hoechst,T0001,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0003_T0004_Z0001_C01,1,D-11,3,Hoechst,T0004,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0002_T0001_Z0001_C02,1,C-06,2,CL488,T0001,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0003_T0013_Z0001_C01,1,D-02,3,Hoechst,T0013,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0003_T0011_Z0001_C03,1,E-10,3,CL488-2,T0011,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-04_F0002_T0002_Z0001_C01,1,E-04,2,Hoechst,T0002,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0003_T0003_Z0001_C03,1,D-10,3,CL488-2,T0003,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0003_T0005_Z0001_C01,1,C-02,3,Hoechst,T0005,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0003_T0012_Z0001_C01,1,E-11,3,Hoechst,T0012,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0001_T0013_Z0001_C03,1,D-02,1,CL488-2,T0013,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0002_T0001_Z0001_C03,1,E-03,2,CL488-2,T0001,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0001_T0004_Z0001_C03,1,D-11,1,CL488-2,T0004,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0001_T0006_Z0001_C01,1,C-03,1,Hoechst,T0006,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0003_T0010_Z0001_C04,1,E-10,3,CL561,T0010,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-04_F0002_T0001_Z0001_C02,1,E-04,2,CL488,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0003_T0012_Z0001_C02,1,D-02,3,CL488,T0012,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0003_T0003_Z0001_C02,1,D-11,3,CL488,T0003,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0001_T0004_Z0001_C04,1,C-02,1,CL561,T0004,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0001_T0011_Z0001_C04,1,E-11,1,CL561,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0001_T0013_Z0001_C02,1,D-03,1,CL488,T0013,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0001_T0005_Z0001_C02,1,C-03,1,CL488,T0005,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0001_T0003_Z0001_C04,1,D-11,1,CL561,T0003,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-07_F0002_T0001_Z0001_C01,1,C-07,2,Hoechst,T0001,Staurosporine,9.77,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0001_T0012_Z0001_C04,1,D-02,1,CL561,T0012,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0003_T0002_Z0001_C04,1,D-10,3,CL561,T0002,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0003_T0011_Z0001_C02,1,E-11,3,CL488,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0003_T0004_Z0001_C02,1,C-02,3,CL488,T0004,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0004_T0010_Z0001_C03,1,E-10,4,CL488-2,T0010,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-04_F0003_T0001_Z0001_C01,1,E-04,3,Hoechst,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0004_T0012_Z0001_C01,1,D-02,4,Hoechst,T0012,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-05_F0001_T0002_Z0001_C01,1,E-05,1,Hoechst,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0002_T0004_Z0001_C03,1,C-02,2,CL488-2,T0004,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0002_T0011_Z0001_C03,1,E-11,2,CL488-2,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0002_T0013_Z0001_C01,1,D-03,2,Hoechst,T0013,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-07_F0001_T0001_Z0001_C02,1,C-07,1,CL488,T0001,Staurosporine,9.77,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0004_T0003_Z0001_C01,1,D-11,4,Hoechst,T0003,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0002_T0003_Z0001_C03,1,D-11,2,CL488-2,T0003,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0002_T0005_Z0001_C01,1,C-03,2,Hoechst,T0005,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0004_T0002_Z0001_C03,1,D-10,4,CL488-2,T0002,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0004_T0011_Z0001_C01,1,E-11,4,Hoechst,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0004_T0004_Z0001_C01,1,C-02,4,Hoechst,T0004,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-04_F0001_T0001_Z0001_C03,1,E-04,1,CL488-2,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0002_T0012_Z0001_C03,1,D-02,2,CL488-2,T0012,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0003_T0012_Z0001_C03,1,C-11,3,CL488-2,T0012,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0002_T0003_Z0001_C01,1,C-05,2,Hoechst,T0003,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0002_T0010_Z0001_C03,1,D-04,2,CL488-2,T0010,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0004_T0002_Z0001_C01,1,C-04,4,Hoechst,T0002,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0002_T0003_Z0001_C02,1,E-02,2,CL488,T0003,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0001_T0006_Z0001_C02,1,D-10,1,CL488,T0006,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0002_T0011_Z0001_C01,1,D-05,2,Hoechst,T0011,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0002_T0002_Z0001_C03,1,C-04,2,CL488-2,T0002,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0004_T0010_Z0001_C01,1,D-04,4,Hoechst,T0010,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0004_T0001_Z0001_C03,1,C-03,4,CL488-2,T0001,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0001_T0002_Z0001_C04,1,C-04,1,CL561,T0002,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0001_T0011_Z0001_C02,1,D-05,1,CL488,T0011,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0004_T0012_Z0001_C02,1,C-11,4,CL488,T0012,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0001_T0003_Z0001_C03,1,E-02,1,CL488-2,T0003,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0003_T0010_Z0001_C02,1,D-04,3,CL488,T0010,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-03_F0003_T0001_Z0001_C04,1,C-03,3,CL561,T0001,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0003_T0002_Z0001_C02,1,C-04,3,CL488,T0002,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-10_F0004_T0011_Z0001_C04,1,C-10,4,CL561,T0011,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0002_T0006_Z0001_C01,1,D-10,2,Hoechst,T0006,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0003_T0003_Z0001_C01,1,E-02,3,Hoechst,T0003,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-04_F0001_T0010_Z0001_C04,1,D-04,1,CL561,T0010,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0002_T0012_Z0001_C04,1,C-11,2,CL561,T0012,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0001_T0003_Z0001_C02,1,C-05,1,CL488,T0003,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0001_T0004_Z0001_C01,1,E-03,1,Hoechst,T0004,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0003_T0001_Z0001_C03,1,E-02,3,CL488-2,T0001,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0002_T0004_Z0001_C03,1,D-10,2,CL488-2,T0004,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-11_F0002_T0013_Z0001_C01,1,E-11,2,Hoechst,T0013,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0002_T0006_Z0001_C01,1,C-02,2,Hoechst,T0006,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0001_T0002_Z0001_C03,1,E-03,1,CL488-2,T0002,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0001_T0001_Z0001_C04,1,C-05,1,CL561,T0001,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0004_T0012_Z0001_C01,1,E-10,4,Hoechst,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-06_F0001_T0010_Z0001_C02,1,D-06,1,CL488,T0010,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0001_T0002_Z0001_C02,1,C-06,1,CL488,T0002,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0004_T0004_Z0001_C01,1,D-10,4,Hoechst,T0004,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-04_F0001_T0003_Z0001_C01,1,E-04,1,Hoechst,T0003,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0002_T0012_Z0001_C03,1,E-10,2,CL488-2,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0002_T0005_Z0001_C01,1,D-11,2,Hoechst,T0005,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0003_T0002_Z0001_C01,1,E-03,3,Hoechst,T0002,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0004_T0010_Z0001_C04,1,C-11,4,CL561,T0010,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
